JD, Filter,Magnitude, Ref 1 Magnitude
2459486.593, B,-0.886,0
2459486.593, B,-0.885,0
2459486.593, B,-0.867,0
2459486.593, B,-0.876,0
2459486.593, B,-0.876,0
2459486.593, B,-0.862,0
2459486.593, B,-0.869,0
2459486.594, B,-0.87,0
2459486.594, B,-0.868,0
2459486.594, B,-0.885,0
2459486.594, B,-0.854,0
2459486.594, B,-0.845,0
2459486.594, B,-0.854,0
2459486.595, B,-0.856,0
2459486.595, B,-0.84,0
2459486.595, B,-0.851,0
2459486.595, B,-0.837,0
2459486.595, B,-0.839,0
2459486.595, B,-0.863,0
2459486.595, B,-0.849,0
2459486.596, B,-0.844,0
2459486.596, B,-0.846,0
2459486.596, B,-0.827,0
2459486.596, B,-0.828,0
2459486.596, B,-0.82,0
2459486.596, B,-0.835,0
2459486.597, B,-0.805,0
2459486.597, B,-0.815,0
2459486.597, B,-0.832,0
2459486.597, B,-0.818,0
2459486.597, B,-0.833,0
2459486.597, B,-0.811,0
2459486.597, B,-0.829,0
2459486.598, B,-0.813,0
2459486.598, B,-0.827,0
2459486.598, B,-0.804,0
2459486.598, B,-0.791,0
2459486.598, B,-0.816,0
2459486.598, B,-0.806,0
2459486.598, B,-0.806,0
2459486.599, B,-0.8,0
2459486.599, B,-0.805,0
2459486.599, B,-0.811,0
2459486.599, B,-0.807,0
2459486.599, B,-0.8,0
2459486.599, B,-0.782,0
2459486.6, B,-0.792,0
2459486.6, B,-0.79,0
2459486.6, B,-0.794,0
2459486.6, B,-0.796,0
2459486.6, B,-0.786,0
2459486.6, B,-0.778,0
2459486.6, B,-0.775,0
2459486.601, B,-0.786,0
2459486.601, B,-0.781,0
2459486.601, B,-0.772,0
2459486.601, B,-0.789,0
2459486.601, B,-0.783,0
2459486.601, B,-0.776,0
2459486.601, B,-0.774,0
2459486.602, B,-0.78,0
2459486.602, B,-0.78,0
2459486.602, B,-0.779,0
2459486.602, B,-0.766,0
2459486.602, B,-0.777,0
2459486.602, B,-0.754,0
2459486.603, B,-0.762,0
2459486.603, B,-0.78,0
2459486.603, B,-0.78,0
2459486.603, B,-0.769,0
2459486.603, B,-0.76,0
2459486.603, B,-0.776,0
2459486.603, B,-0.763,0
2459486.604, B,-0.76,0
2459486.604, B,-0.756,0
2459486.604, B,-0.772,0
2459486.604, B,-0.758,0
2459486.604, B,-0.751,0
2459486.604, B,-0.766,0
2459486.605, B,-0.751,0
2459486.605, B,-0.747,0
2459486.605, B,-0.754,0
2459486.605, B,-0.741,0
2459486.605, B,-0.75,0
2459486.605, B,-0.75,0
2459486.605, B,-0.767,0
2459486.606, B,-0.757,0
2459486.606, B,-0.757,0
2459486.606, B,-0.743,0
2459486.606, B,-0.736,0
2459486.606, B,-0.751,0
2459486.606, B,-0.743,0
2459486.606, B,-0.75,0
2459486.607, B,-0.734,0
2459486.607, B,-0.753,0
2459486.607, B,-0.723,0
2459486.607, B,-0.744,0
2459486.607, B,-0.739,0
2459486.607, B,-0.742,0
2459486.608, B,-0.744,0
2459486.608, B,-0.737,0
2459486.608, B,-0.74,0
2459486.608, B,-0.726,0
2459486.608, B,-0.726,0
2459486.608, B,-0.731,0
2459486.608, B,-0.724,0
2459486.609, B,-0.741,0
2459486.609, B,-0.723,0
2459486.609, B,-0.745,0
2459486.609, B,-0.719,0
2459486.609, B,-0.727,0
2459486.609, B,-0.74,0
2459486.609, B,-0.734,0
2459486.61, B,-0.741,0
2459486.61, B,-0.744,0
2459486.61, B,-0.726,0
2459486.61, B,-0.728,0
2459486.61, B,-0.737,0
2459486.61, B,-0.742,0
2459486.611, B,-0.731,0
2459486.611, B,-0.726,0
2459486.611, B,-0.727,0
2459486.611, B,-0.73,0
2459486.611, B,-0.74,0
2459486.611, B,-0.731,0
2459486.611, B,-0.727,0
2459486.612, B,-0.732,0
2459486.612, B,-0.737,0
2459486.612, B,-0.74,0
2459486.612, B,-0.73,0
2459486.612, B,-0.702,0
2459486.612, B,-0.737,0
2459486.613, B,-0.727,0
2459486.613, B,-0.715,0
2459486.613, B,-0.734,0
2459486.613, B,-0.728,0
2459486.613, B,-0.731,0
2459486.613, B,-0.727,0
2459486.613, B,-0.72,0
2459486.614, B,-0.735,0
2459486.614, B,-0.742,0
2459486.614, B,-0.715,0
2459486.614, B,-0.727,0
2459486.614, B,-0.741,0
2459486.614, B,-0.748,0
2459486.614, B,-0.735,0
2459486.615, B,-0.73,0
2459486.615, B,-0.745,0
2459486.615, B,-0.749,0
2459486.615, B,-0.737,0
2459486.615, B,-0.748,0
2459486.615, B,-0.733,0
2459486.616, B,-0.739,0
2459486.616, B,-0.745,0
2459486.616, B,-0.743,0
2459486.616, B,-0.739,0
2459486.616, B,-0.764,0
2459486.616, B,-0.748,0
2459486.616, B,-0.738,0
2459486.617, B,-0.753,0
2459486.617, B,-0.749,0
2459486.617, B,-0.737,0
2459486.617, B,-0.755,0
2459486.617, B,-0.751,0
2459486.617, B,-0.767,0
2459486.617, B,-0.764,0
2459486.618, B,-0.757,0
2459486.618, B,-0.765,0
2459486.618, B,-0.75,0
2459486.618, B,-0.772,0
2459486.618, B,-0.771,0
2459486.618, B,-0.778,0
2459486.619, B,-0.768,0
2459486.619, B,-0.755,0
